mrrobot,semplice,{nome:Elliot,cognome:Alderson,data:05/10/1985,citta:New York,sesso:M}
elbarto,semplice,{nome:Bart,cognome:Simpson,data:13/07/1991,citta:Springfield,sesso:M}
pinco55,semplice,{nome:Mario,cognome:Rossi,data:15/02/2000,citta:Roma,sesso:M}
queenangela,semplice,{nome:Angela,cognome:Merkel,data:02/02/1950,citta:Berlino,sesso:F}
godangela,semplice,{nome:Piero,cognome:Angela,data:06/02/1930,citta:Torino,sesso:M}
ingr,semplice,{nome:Riccardo,cognome:Rossi,data:16/07/1990,citta:Torino,sesso:M}
lili,semplice,{nome:Lili,cognome:Gruber,data:19/06/1964,citta:Bolzano,sesso:F}
marges,semplice,{nome:Marge,cognome:Bouvier,data:27/03/1968,citta:Springfield,sesso:F}
homerofficial,semplice,{nome:Homer,cognome:Simpson,data:10/12/1964,citta:Springfield,sesso:M}
lisas,semplice,{nome:Lisa,cognome:Simpson,data:01/04/1987,citta:Springfield,sesso:F}
meggies,semplice,{nome:Margaret,cognome:Simpson,data:11/11/1997,citta:Springfield,sesso:F}
monas,semplice,{nome:Mona,cognome:Simpson,data:18/06/1944,citta:Springfield,sesso:F}
abes,semplice,{nome:Abraham,cognome:Simpson,data:27/03/1942,citta:Springfield,sesso:M}
joeb,semplice,{nome:Jhon,cognome:Bouvier,data:01/04/1943,citta:Springfield,sesso:M}
elib,semplice,{nome:Elisa,cognome:Bouvier,data:15/09/1945,citta:Springfield,sesso:F}
potus,semplice,{nome:Donald,cognome:Trump,data:02/11/1945,citta:New York,partito:Repubblican Party,religione:Cristiano,sesso:M}
dave,semplice,{nome:David,cognome:Gilmour,data:05/01/1946,citta:Cambridge,sesso:M}
dino,semplice,{nome:Dino,cognome:Cozio,data:15/11/2005,citta:Imola,sesso:M}
frank,semplice,{nome:Francesco,cognome:Rossi,data:02/10/1944,citta:Cosenza,sesso:M}
toto,semplice,{nome:Salvatore,cognome:Lombardo,data:22/07/1973,citta:Napoli,sesso:M}
pino,semplice,{nome:Pino,cognome:Insegno,data:24/02/1950,citta:Roma,sesso:M}
al,semplice,{nome:Alberto,cognome:Bellardone,data:04/04/1966,citta:Torino,sesso:M}
